StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,attention_check,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,affiliation,affiliation_4_TEXT,strong_red,strong_blue,affiliation_none,importance_aff,gender,gender_3_TEXT,age,AI timer 1_First Click,AI timer 1_Last Click,AI timer 1_Page Submit,AI timer 1_Click Count,AI Q 1,AI timer 2_First Click,AI timer 2_Last Click,AI timer 2_Page Submit,AI timer 2_Click Count,AI Q2,AI timer 3_First Click,AI timer 3_Last Click,AI timer 3_Page Submit,AI timer 3_Click Count,"AI Q 3 ",AI timer 4 _First Click,AI timer 4 _Last Click,AI timer 4 _Page Submit,AI timer 4 _Click Count,"AI Q 4 ",AI timer 5 _First Click,AI timer 5 _Last Click,AI timer 5 _Page Submit,AI timer 5 _Click Count,"AI Q 5 ",familiarity,rid,Politician,MatrixResponses
2026-01-29 18:48:08,2026-01-29 18:50:41,IP Address,37.96.96.2,100,152,True,2026-01-29 18:50:41,R_8IhEh6B3lqmtotU,,,,,55.7056,12.5683,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget enig,Meget enig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Delvist Uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Lidt vigtig,Mand,,37,4.001,4.001,6.014,1,5,1.801,1.801,6.104,1,300,2.001,2.001,6.012,1,500,2.201,2.201,6.104,1,900l,1.5,1.5,6.113,1,8000,Meget bekendt,697bab63-645f-5aa2-b527-d05315921014,Mette Frederiksen,"Meget enig, Delvist enig, Delvist Uenig"
2026-01-29 18:49:21,2026-01-29 18:52:58,IP Address,195.249.193.249,100,216,True,2026-01-29 18:52:58,R_8BdD3zIyTtKx8yZ,,,,,55.0481,10.6097,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Blå blok,,,Stærkt tilknyttet,,Moderat vigtig,Kvinde,,69,3.827,3.827,6.121,1,,0,0,6.127,0,,2.57,2.57,6.117,1,ve,0,0,6.011,0,,3.85,3.85,6.114,1,,Ekstremt bekendt,697babab-c0cf-0fb4-93bf-f36094d5d9e6,Mette Frederiksen,Meget uenig
2026-01-29 18:49:02,2026-01-29 18:53:44,IP Address,87.49.147.195,100,282,True,2026-01-29 18:53:44,R_8uC2kQWrG0lpjQB,,,,,55.7123,12.0564,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget enig,Meget enig,Meget enig,Delvist enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Ingen af delene,,,,Tættest på blå blok,Ekstremt vigtig,Kvinde,,56,4.702,4.702,6.046,1,,0,0,6.043,0,,3.702,3.702,6.012,1,10,0.101,5.101,6.012,2,,0,0,6.043,0,,Ekstremt bekendt,697bab97-286f-2443-05ad-7c5df495aacb,Troels Lund Poulsen,"Meget enig, Delvist enig"
2026-01-29 18:57:46,2026-01-29 19:01:34,IP Address,80.162.224.189,100,227,True,2026-01-29 19:01:35,R_23Vr8iptLWJ6f0u,,,,,56.1567,10.2153,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Moderat vigtig,Mand,,67,0,0,6.122,0,,0,0,6.14,0,,0,0,6.137,0,,0,0,6.123,0,,0,0,6.019,0,,Moderat bekendt,697bada3-3c3f-d3bb-7297-fce8f9348a83,Mette Frederiksen,"Hverken enig eller uenig, Delvist enig"
2026-01-29 18:59:09,2026-01-29 19:02:41,IP Address,62.198.143.221,100,212,True,2026-01-29 19:02:41,R_2ru908yO0fpUqxE,,,,,56.1567,10.2153,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Delvist Uenig,Meget uenig,Meget uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Lidt vigtig,Kvinde,,20,3.727,3.727,6.004,1,,0.773,1.937,6.009,3,3000,2.806,2.806,5.845,1,Ved ik,4.012,4.012,6.008,1,Hv,3.376,3.376,6.051,1,10000,Meget bekendt,697badf5-c16b-0f02-6f52-38f6be946ba8,Mette Frederiksen,"Delvist Uenig, Meget uenig, Hverken enig eller uenig"
2026-01-29 21:04:19,2026-01-29 21:06:11,IP Address,178.155.200.229,100,111,True,2026-01-29 21:06:11,R_2ozPUgcNbssM4mO,,,,,55.493,9.4748,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget enig,Delvist enig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Lidt vigtig,Kvinde,,45,2.001,6.006,6.044,2,10000,0.177,5.858,6.111,3,10000000,1.7,1.7,6.013,1,5000000,2.181,5.748,6.108,4,0,1.306,4.03,6.013,3,,Moderat bekendt,697bcb4c-33da-afea-bd98-00f60ef23b2d,Troels Lund Poulsen,"Meget enig, Delvist enig"
2026-01-29 21:04:33,2026-01-29 21:06:12,IP Address,62.107.18.163,100,98,True,2026-01-29 21:06:13,R_2IaYqVVtJhwoHXQ,,,,,55.6482,12.6014,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Delvist Uenig,Rød blok,,Stærkt tilknyttet,,,Ekstremt vigtig,Mand,,44,2.846,2.846,6.018,1,2,1.592,1.592,4.819,1,2300,1.833,1.833,6.132,1,65000000,1.777,1.777,6.144,1,5000,1.602,1.602,5.951,1,50000,Meget bekendt,697bcb5b-ccb7-e9d0-4f43-ac24d278b332,Troels Lund Poulsen,"Meget uenig, Delvist Uenig"
2026-01-29 21:05:25,2026-01-29 21:07:08,IP Address,87.54.97.171,100,103,True,2026-01-29 21:07:09,R_2xvkaZyTZGBHtzH,,,,,56.8107,9.49,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Meget uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Ingen af delene,,,,Ingen af delene,Slet ikke vigtig,Mand,,29,3.632,3.632,6.016,1,10000,1.666,1.666,5.602,1,10000,1.477,2.328,6.014,3,2000000,0.098,5.746,6.006,4,,1.26,2.793,6.012,3,30000,Meget bekendt,697bcb8f-bc71-9556-7257-b1e20af3938f,Mette Frederiksen,"Delvist Uenig, Hverken enig eller uenig, Meget uenig"
2026-01-29 21:06:06,2026-01-29 21:08:12,IP Address,80.62.117.192,100,126,True,2026-01-29 21:08:13,R_8Sw9fc9PDRqL8jf,,,,,55.7123,12.0564,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Lidt vigtig,Kvinde,,50,2.867,2.867,6.014,1,,2.326,2.326,6.014,1,100,2.641,2.641,6.015,1,6000,2.26,5.795,6.012,2,3,2.858,2.858,6.014,1,60,Moderat bekendt,697bcbb8-41fe-cc33-eb65-5c9e8f48b1db,Troels Lund Poulsen,"Delvist Uenig, Hverken enig eller uenig"
2026-01-29 21:04:32,2026-01-29 21:10:05,IP Address,212.10.116.120,100,333,True,2026-01-29 21:10:06,R_2DckqgwBetg9YEo,,,,,55.8225,12.5781,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Blå blok,,,Stærkt tilknyttet,,Slet ikke vigtig,Kvinde,,19,5.482,5.482,6.01,1,,1.81,2.626,6.108,3,5000,1.152,4.069,6.008,3,100,1.156,1.17,6.109,2,,4.31,4.31,6.006,1,7,Lidt bekendt,697bcb5a-34a5-90b5-445b-b05cb0dfc525,Mette Frederiksen,"Hverken enig eller uenig, Delvist Uenig, Delvist enig"
2026-01-29 21:19:15,2026-01-29 21:22:37,IP Address,77.241.128.139,100,202,True,2026-01-29 21:22:38,R_8GZiPzub8R3TecL,,,,,55.674,12.5696,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Andet,"Dem der hjælper dem der har mest brug for det ",,,Tættest på blå blok,Meget vigtig,Mand,,40,0,0,6.018,0,,4.422,4.422,6.12,1,,0,0,6.018,0,,0,0,6.019,0,,2.284,2.284,5.678,1,1000,Meget bekendt,697bcecc-f0d9-b580-e5c6-9acc292ab692,Mette Frederiksen,Hverken enig eller uenig
2026-01-29 21:28:59,2026-01-29 21:31:42,IP Address,80.161.146.6,100,162,True,2026-01-29 21:31:43,R_8kQTEylOZXQhnDH,,,,,55.6482,12.6014,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Meget enig,Delvist enig,Meget enig,Meget enig,Blå blok,,,Ikke særlig stærkt tilknyttet,,Lidt vigtig,Mand,,57,2.757,2.757,6.011,1,,5.076,5.076,6.003,1,,5.32,5.32,6.109,1,,4.298,4.298,6.113,1,"ved ",1.167,1.167,6.006,1,,Meget bekendt,697bd115-a8d1-65e2-6be9-e77be3c40d2b,Troels Lund Poulsen,"Meget enig, Delvist enig"
2026-01-29 22:08:20,2026-01-29 22:10:11,IP Address,37.96.98.202,100,110,True,2026-01-29 22:10:11,R_2MPDtbNmRz3VIcy,,,,,55.6922,12.5478,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Meget uenig,Rød blok,,Ikke særlig stærkt tilknyttet,,,Moderat vigtig,Kvinde,,29,1.713,5.555,6.01,4,,0.953,0.953,6.112,1,99,1.678,2.679,6.008,3,1000,1.684,4.034,6.01,2,,3.06,3.461,6.008,2,,Ekstremt bekendt,697bda4f-bc6f-1f5c-c3ee-7fabbdf0901c,Mette Frederiksen,Meget uenig
2026-01-29 22:09:06,2026-01-29 22:11:37,IP Address,77.241.128.203,100,151,True,2026-01-29 22:11:38,R_2Y4GNebmUIARNoR,,,,,55.674,12.5696,anonymous,EN-GB,0.800000011920929,Jeg giver mit samtykke til at deltage i dette studie.,Troels Lund Poulsen,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Delvist Uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist Uenig,Blå blok,,,Stærkt tilknyttet,,Lidt vigtig,Kvinde,,49,3.665,3.665,5.88,1,58,2.001,2.001,4.446,1,80,2.478,2.478,4.34,1,60,2.101,2.101,3.856,1,0,2.775,2.775,4.468,1,600,Lidt bekendt,697bda7b-b4bd-5a93-4f16-bc6765c9d032,Troels Lund Poulsen,"Hverken enig eller uenig, Delvist Uenig"
2026-01-29 22:09:24,2026-01-29 22:12:06,IP Address,93.178.139.48,100,161,True,2026-01-29 22:12:07,R_2fDlhERSN0FgxJL,,,,,55.3205,11.7534,anonymous,EN-GB,1,Jeg giver mit samtykke til at deltage i dette studie.,Mette Frederiksen,Meget enig,Delvist enig,Meget enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Meget enig,Meget enig,Rød blok,,Stærkt tilknyttet,,,Lidt vigtig,Kvinde,,65,3.444,3.444,6.115,1,Ved i,4.191,4.191,6.017,1,2,4.24,4.24,6.019,1,,4.72,4.72,6.125,1,,4.025,4.025,6.013,1,,Meget bekendt,697bda8e-0c1b-7f09-848c-a46475d5666f,Mette Frederiksen,"Delvist enig, Meget enig"
