Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
133,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,42,Jeannette Jara Román,6914a2ea-2f7e-53fc-498a-81fc2d594a5d,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
94,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,20,José Antonio Kast Rist,6914a2eb-2b2e-ef53-7e2b-9780c0c4303c,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
180,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Jeannette Jara,Otro,Centro ,,,Más cercano con la Derecha,Muy importante,Masculino,42,José Antonio Kast Rist,6914a2f4-dac3-90b9-0b79-883914691e37,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
82,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,34,Jeannette Jara Román,6914a301-11ea-ecfb-dc13-89128b2cf90d,Jeannette Jara,Totalmente de acuerdo,1,1
94,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,28,Jeannette Jara Román,6914a308-e356-6834-984a-976a87e69ee4,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo en desacuerdo",1,1
129,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,49,Marco Antonio Enríquez-Ominami Gumucio,6914a30e-c7bc-70b9-ca98-fa4a2be10643,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
149,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Femenino,55,Evelyn Matthei Fornet,6914a31a-74b3-f26d-32d9-81aa8e6301fe,Jeannette Jara,Totalmente en desacuerdo,1,1
143,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,46,Evelyn Matthei Fornet,6914a325-1373-ed57-f0c0-e9227acd52b2,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
88,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,27,Franco Parisi Fernández,6914a32e-a57b-9f08-0b92-699298555a85,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Totalmente de acuerdo",1,1
94,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,35,Jeannette Jara Román,6914a33b-cacf-e361-45e8-16428ab94690,Jeannette Jara,Algo de acuerdo,1,1
217,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,70,Jeannette Jara Román,6914a33a-6209-2ae8-58b1-f3c657df8b31,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
254,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro izquierda,,,Más cercano con la Izquierda,Moderadamente importante,Masculino,62,Jeannette Jara Román,6914a340-f6d7-407f-66b6-cd80ff3999ee,José Antonio Kast,Totalmente en desacuerdo,1,1
154,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,44,José Antonio Kast Rist,6914a343-5ba0-44ec-9524-7188f62f8233,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
228,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,22,José Antonio Kast Rist,6914a366-bee7-d5e6-30b5-1108417bed1f,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
127,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,40,Marco Antonio Enríquez-Ominami Gumucio,6914a368-c637-5ae3-39f5-d6698236e046,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
209,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Nada importante,Femenino,20,Franco Parisi Fernández,6914a36f-652b-d2dd-f317-5d7792dee7b3,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
1200,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,37,Franco Parisi Fernández,6914a376-df0b-ee1d-748b-16f3c92a0bf5,Jeannette Jara,"Algo de acuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
305,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,61,Jeannette Jara Román,6914a385-0a8c-43e7-c17e-e5d5dc63509a,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
111,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Masculino,35,José Antonio Kast Rist,6914a38f-4971-de2c-c65a-05b5005a1143,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
119,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Nada importante,Femenino,55,Jeannette Jara Román,6914a3a3-a56c-034d-30da-68fc4d8d8a46,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
123,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,47,José Antonio Kast Rist,6914a3bd-0a7d-0244-1d0a-8f10de702200,José Antonio Kast,Totalmente de acuerdo,1,1
243,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,74,Jeannette Jara Román,6914a446-7abb-d9aa-3938-497f9fdaf475,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
150,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,33,José Antonio Kast Rist,6914a459-fe66-7c9d-02dc-90cdb307bf2d,José Antonio Kast,Totalmente de acuerdo,1,1
106,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,42,José Antonio Kast Rist,6914a4ac-40d2-8c18-2423-dba164516112,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
217,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,23,Jeannette Jara Román,6914a4b6-eb2f-dfe0-5f89-c8e5ced45fd7,Jeannette Jara,Totalmente de acuerdo,1,1
95,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,24,Johannes Kaiser Barents-von Hohenhagen,6914a4bb-5db5-46ac-3d19-de0dc9399e33,José Antonio Kast,"Totalmente en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
122,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,42,Johannes Kaiser Barents-von Hohenhagen,6914a4c5-9420-ff0a-70ee-df15c3111ee9,Jeannette Jara,Ni de acuerdo ni en desacuerdo,1,1
470,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Extremadamente importante,Masculino,44,Harlod Mayne-Nicholls Sécul,6914a4c9-75b4-ef26-4931-ab0ed680944f,José Antonio Kast,Totalmente en desacuerdo,1,1
170,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Masculino,26,Johannes Kaiser Barents-von Hohenhagen,6914a4d7-b8f2-586e-2b9f-4e8340b46238,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Algo en desacuerdo",1,1
137,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,43,José Antonio Kast Rist,6915c574-a522-51b9-d9ff-37da24a2f8a2,José Antonio Kast,Totalmente de acuerdo,1,1
135,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Poco importante,Masculino,24,Harlod Mayne-Nicholls Sécul,6915c578-e195-ed03-5395-3582427843e1,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
67,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Masculino,38,José Antonio Kast Rist,6915c583-dbe6-bdfe-5831-f11ef3a58f80,Jeannette Jara,Totalmente en desacuerdo,1,1
133,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Moderadamente importante,Masculino,25,Jeannette Jara Román,6915c591-3493-3e7b-a4e5-3b2c12234393,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
108,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,33,José Antonio Kast Rist,6915c59a-2e27-1ee4-30c8-e500f0f00395,José Antonio Kast,"Totalmente en desacuerdo, Algo de acuerdo",1,1
104,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Extremadamente importante,Femenino,25,Jeannette Jara Román,6915c59c-f9f4-7396-2788-4ff3e16fdbcd,Jeannette Jara,Totalmente de acuerdo,1,1
201,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,25,Johannes Kaiser Barents-von Hohenhagen,6915c59c-cffb-a2a5-df8e-9ebaf2704a57,Jeannette Jara,Totalmente en desacuerdo,1,1
80,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,31,Harlod Mayne-Nicholls Sécul,6915c59c-0d76-a3f6-04b1-5aa5eaf0bbe0,José Antonio Kast,Totalmente en desacuerdo,1,1
125,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Poco importante,Masculino,64,José Antonio Kast Rist,6915c59f-f9f4-e306-39fe-d40fe1d602d0,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
125,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Masculino,23,Eduardo Antonio Artés Brichetti,6915c5a2-9460-014b-50c0-f742d31e5920,José Antonio Kast,"Totalmente en desacuerdo, Algo de acuerdo",1,1
123,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,35,Marco Antonio Enríquez-Ominami Gumucio,6915c5b0-413e-9010-8830-43cfeb503452,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
66,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Femenino,35,Jeannette Jara Román,6915c5b6-4c66-68e7-52e5-bfbb2e9a1a62,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
141,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Extremadamente importante,Masculino,32,Johannes Kaiser Barents-von Hohenhagen,6915c5b6-6e28-87b6-f112-10c7c64d620f,Jeannette Jara,Totalmente en desacuerdo,1,1
107,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,42,José Antonio Kast Rist,6915c5b8-de8e-418d-55d8-a0fe701a6ff1,Jeannette Jara,Totalmente en desacuerdo,1,1
127,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,47,José Antonio Kast Rist,6915c5b8-49f4-6bc6-cd16-15cdc624041c,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
103,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,38,José Antonio Kast Rist,6915c5ca-16d0-e25b-c0ef-4cbf0b59750d,Jeannette Jara,Totalmente en desacuerdo,1,1
106,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Poco importante,Masculino,37,José Antonio Kast Rist,6915c5d0-dcbf-3059-8197-508f90f26abb,José Antonio Kast,Totalmente en desacuerdo,1,1
